AD,,,,
AO,VPE,Ongiva,,
AO,PAT,Palanca Terminal,,
AO,PAZ,Pazflor FPSO,0821S 01206E,
AO,PLE,Porto Alexandre (Tombua),,
AO,PBN,Porto Amboim,,
AO,PSA,Porto Saco (Portosalazar),1508S 01208E,
AO,RSN,River Sao Nicolau,1415S 01220E,
AO,,San Antonio do Zaire = Soyo,,
AO,STC,Santa Clara,0722S 01444E,
AO,VHC,Saurimo,,
AO,SBT,Saxi Batuque FPSO,0619S 01113E,
AO,STL,Sazaire Terminal,0605S 01223E,
AO,SZA,Soyo,,
AO,SOQ,Soyo-Quinfuquena Terminal,,
AO,NDD,Sumbe,,
AO,TAK,Takula Terminal,,
AO,UGO,Uige,0737S 01503E,
AO,VNA,Viana,0854S 01322E,
AO,CEO,Waku Kungo,1121S 01507E,
AO,XGN,Xangongo,,
AQ,,,,
AQ,ABA,Aboa,7303S 01325W,
AQ,AMS,Amundsen-Scott,8959S 13916E,
AQ,ARC,Arctowski,6209S 05828W,
AQ,ART,Artigas,6211S 05854W,
AQ,APT,Arturo Prat,6230S 05941W,
AQ,BEL,Belgrano II,7752S 03437W,
AQ,BHN,Bellingshausen,6211S 05857W,
AQ,CAS,Casey Station,6617S 11031E,
AQ,CFZ,Comandante Ferraz,6205S 05823W,
AQ,CON,Concordia,7506S 12323E,
AQ,DAV,Davis Station,6834S 07758E,
AQ,DMF,Dome Fuji,7719S 03942E,
AQ,DRZ,Druzhnaya 4,6944S 07342E,
AQ,DDU,Dumont d'Urville Station,6639S 14000E,
AQ,ESC,Escudero,6212S 05857W,
AQ,ESP,Esperanza,6323S 05659W,
AQ,GDC,Gabriel de Castilla,6259S 06041W,
AQ,OHG,General Bernardo O'higgins,6319S 05754W,
AQ,GWL,Great Wall,6213S 05858W,
AQ,HLY,Halley,7534S 02632W,
AQ,JBS,Jang Bogo Station,7436S 16412E,
AQ,JCP,Juan Carlos Primero,6239S 06023W,
AQ,JUB,Jubany,6214S 05839W,
AQ,KSG,King Sejong,6213S 05847W,
AQ,KHN,Kohnen,7500S 00004E,
AQ,LAW,Law Base,6923S 07623E,
AQ,MTR,Maitri,7045S 01144E,
AQ,MRB,Marambio,6414S 05639W,
AQ,MZU,Mario Zucchelli,7441S 16407E,ex Terra Nova Bay Station
AQ,MAW,Mawson Station,6736S 06252E,
